iter	Passed	Remaining
0	145	145641
1	146	73180
2	147	49004
3	148	36903
4	149	29652
5	149	24809
6	150	21347
7	151	18759
8	152	16750
9	153	15149
10	153	13837
11	155	12766
12	155	11838
13	156	11038
14	157	10342
15	158	9741
16	159	9211
17	160	8741
18	161	8317
19	161	7936
20	162	7590
21	163	7269
22	164	6978
23	164	6708
24	165	6462
25	166	6238
26	167	6033
27	168	5843
28	169	5668
29	170	5501
30	170	5341
31	171	5191
32	172	5051
33	173	4925
34	174	4802
35	174	4684
36	175	4574
37	176	4467
38	177	4365
39	177	4269
40	178	4178
41	179	4091
42	180	4010
43	181	3933
44	181	3861
45	182	3793
46	183	3725
47	184	3661
48	185	3599
49	186	3540
50	187	3481
51	187	3426
52	188	3373
53	189	3322
54	190	3272
55	191	3226
56	192	3182
57	193	3139
58	194	3100
59	195	3059
60	196	3019
61	197	2980
62	197	2943
63	198	2907
64	199	2872
65	201	2845
66	202	2816
67	202	2779
68	203	2748
69	204	2719
70	205	2690
71	206	2659
72	207	2629
73	207	2601
74	208	2575
75	209	2548
76	210	2523
77	211	2500
78	212	2475
79	213	2452
80	214	2429
81	214	2406
82	215	2386
83	216	2364
84	217	2340
85	218	2319
86	218	2295
87	219	2274
88	220	2254
89	220	2234
90	221	2215
91	222	2196
92	223	2178
93	224	2160
94	224	2143
95	225	2126
96	226	2112
97	229	2111
98	230	2098
99	231	2084
100	232	2071
101	233	2055
102	234	2039
103	234	2023
104	235	2008
105	236	1993
106	237	1979
107	237	1964
108	238	1950
109	239	1938
110	240	1925
111	243	1932
112	245	1926
113	246	1917
114	248	1910
115	248	1896
116	249	1883
117	250	1870
118	250	1857
119	251	1844
120	252	1832
121	252	1819
122	253	1806
123	254	1795
124	254	1784
125	256	1776
126	257	1770
127	258	1759
128	259	1752
129	260	1743
130	261	1736
131	262	1726
132	263	1716
133	264	1707
134	265	1698
135	266	1690
136	266	1680
137	267	1671
138	268	1663
139	269	1655
140	270	1646
141	271	1637
142	272	1630
143	272	1622
144	273	1614
145	274	1606
146	275	1598
147	276	1591
148	277	1582
149	277	1574
150	278	1567
151	279	1559
152	280	1551
153	281	1544
154	281	1536
155	282	1529
156	283	1524
157	284	1517
158	285	1511
159	286	1504
160	287	1497
